Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Alerts_Warnings,AttackType,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geolocation_Data,ProxyInformation,FirewallLogs,IDS_IPS_Alerts,Log_Source
172.217.12.174-10.42.0.151-443-52448-17,20-02-23 19:45,203.31.165.240,145.148.194.19,2178,60616,UDP,866,Control,FTP,Unknown,0,Blocked,Low,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/8577-09-13 08:46:37 Firefox/4.0,Segment A,"Maheshtala, Odisha",48.234.9.245,Log Data,Alert Data,Firewall
10.42.0.211-104.192.110.245-59747-80-6,12-06-23 0:28,129.226.220.223,94.221.252.213,32146,35508,ICMP,543,Data,DNS,Alert Triggered,0,Ignored,Medium,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.24.7 (KHTML, like Gecko) Version/5.1 Safari/532.24.7",Segment A,"Nangloi Jat, Bihar",173.207.98.6,Unknown,Unknown,Server
172.217.10.238-10.42.0.151-443-44311-6,14-06-23 21:53,61.88.238.173,139.12.176.114,4017,2655,UDP,372,Control,DNS,Alert Triggered,0,Logged,High,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/531.42.7 (KHTML, like Gecko) Version/4.0.4 Safari/531.42.7",Segment B,"Delhi, Uttarakhand",120.58.162.6,Unknown,Alert Data,Server
172.217.10.130-10.42.0.151-443-59182-6,19-03-23 21:34,92.230.112.14,130.120.215.91,30401,2941,TCP,1208,Control,FTP,Alert Triggered,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.1),Segment A,"South Dumdum, Gujarat",130.81.93.166,Unknown,Alert Data,Server
10.42.0.151-40.117.145.132-48207-443-6,06-10-20 13:41,81.35.185.20,45.143.157.228,23247,26884,TCP,1008,Data,HTTP,Alert Triggered,0,Blocked,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/46.0.879.0 Mobile/79Q141 Safari/533.0",Segment A,"Darbhanga, Uttar Pradesh",Unknown,Log Data,Unknown,Firewall
10.42.0.1-10.42.0.42-53-14668-17,23-07-22 6:25,132.65.145.155,6.30.107.150,65066,52404,TCP,1276,Data,FTP,Unknown,0,Ignored,Medium,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/33.0.810.0 Safari/536.1",Segment A,"Sultan Pur Majra, Bihar",Unknown,Log Data,Alert Data,Server
172.217.10.138-10.42.0.211-443-59304-6,03-08-21 7:14,14.153.194.117,46.83.17.68,7630,61626,ICMP,581,Data,DNS,Alert Triggered,0,Ignored,Medium,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_5; rv:1.9.4.20) Gecko/2841-01-07 02:48:07 Firefox/12.0,Segment A,"Jalna, Mizoram",Unknown,Unknown,Alert Data,Firewall
10.42.0.211-10.42.0.1-11568-53-17,01-03-21 11:46,124.66.99.165,199.210.242.219,60887,21262,TCP,519,Control,FTP,Alert Triggered,0,Logged,Medium,Opera/9.58.(X11; Linux i686; en-AU) Presto/2.9.167 Version/12.00,Segment C,"Ichalkaranji, Goa",35.234.10.38,Unknown,Unknown,Firewall
202.77.129.150-10.42.0.211-80-54864-6,17-04-23 17:05,74.227.143.169,48.26.92.224,4378,23294,UDP,921,Data,FTP,Alert Triggered,0,Blocked,Low,Opera/9.49.(Windows NT 6.1; gl-ES) Presto/2.9.176 Version/11.00,Segment B,"Durgapur, Arunachal Pradesh",222.94.79.235,Unknown,Alert Data,Server
182.22.24.252-10.42.0.151-443-38586-6,10-06-21 22:32,111.238.141.3,9.121.249.148,31393,32875,ICMP,520,Data,DNS,Alert Triggered,0,Logged,Low,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/4366-12-25 01:43:56 Firefox/3.6.10,Segment C,"Jalandhar, Tamil Nadu",Unknown,Unknown,Unknown,Server
203.205.158.61-10.42.0.151-80-44214-6,14-09-21 1:42,68.125.31.128,64.175.17.81,22688,15779,UDP,312,Data,FTP,Alert Triggered,0,Ignored,High,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7819-08-13 22:36:58 Firefox/10.0,Segment B,"Jalandhar, Telangana",Unknown,Unknown,Alert Data,Firewall
